Time,CPU Usage (%),Memory Usage (MB)
1677484902.4334564,0.0,82.625
1677484903.4334724,59.7,83.46875
1677484904.4332845,63.9,83.46875
1677484905.433179,65.6,83.46875
1677484906.4327953,65.9,83.46875
1677484907.4332387,62.7,83.46875
1677484908.4328709,65.9,83.46875
1677484909.4331493,68.4,83.46875
1677484910.4331589,66.7,83.46875
1677484911.4331489,68.3,83.46875
1677484912.4329557,73.8,83.8984375
1677484913.4333131,71.0,83.8984375
1677484914.432875,72.2,83.8984375
1677484915.432837,66.9,83.8984375
1677484916.43346,69.4,83.8984375
1677484917.432782,68.8,83.8984375
1677484918.4331198,68.9,83.8984375
1677484919.433586,68.7,83.8984375
1677484920.4334693,70.6,83.8984375
1677484921.4328046,65.8,83.8984375
1677484922.4335134,69.2,83.8984375
1677484923.4334812,68.9,84.31640625
1677484924.4335208,72.4,84.31640625
1677484925.4332004,64.0,84.31640625
1677484926.4334993,67.3,84.31640625
1677484927.4331927,72.0,84.31640625
1677484928.4333422,69.0,84.31640625
